,Period,Correlation,Ticker1,Ticker2,20d_Volume1,20d_Volume2,close_SD1,close_SD2,Sector1_basic-materials,Sector1_communication-services,Sector1_consumer-cyclical,Sector1_consumer-defensive,Sector1_energy,Sector1_financial-services,Sector1_healthcare,Sector1_industrials,Sector1_real-estate,Sector1_technology,Sector1_utilities,Sector2_basic-materials,Sector2_communication-services,Sector2_consumer-cyclical,Sector2_consumer-defensive,Sector2_energy,Sector2_financial-services,Sector2_healthcare,Sector2_industrials,Sector2_real-estate,Sector2_technology,Sector2_utilities
37,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.1824511695293467,APA,APD,6406135.0,2021735.0,0.6783399872076267,6.924276381634439,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.34055105943595465,APD,APH,2021735.0,7375480.0,6.924276381634439,1.3504758734693798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.8012066530759339,APH,APTV,7375480.0,3341140.0,1.3504758734693798,5.037064751547791,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
40,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.27844889836142156,APTV,ARE,3341140.0,915945.0,5.037064751547791,1.3129568596399932,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.03308561580574917,ARE,AVB,915945.0,662525.0,1.3129568596399932,4.6287766812721856,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.7153441904782216,AVB,AVGO,662525.0,5124540.0,4.6287766812721856,162.2260955349259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.25928396266475373,AVGO,AVY,5124540.0,432465.0,162.2260955349259,1.8122386042185725,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
44,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.7228797274592554,AVY,AWK,432465.0,1105000.0,1.8122386042185725,1.9623625906733222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.12989729905346878,AWK,AXP,1105000.0,2947265.0,1.9623625906733222,4.781468059514193,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
46,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.02164360041145266,AXP,AYI,2947265.0,303480.0,4.781468059514193,6.772831031613151,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
47,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.6515040389345631,AYI,AZO,303480.0,154690.0,6.772831031613151,88.61835338655246,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.444018223620372,AZO,BA,154690.0,5767705.0,88.61835338655246,6.162395882967862,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
49,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.3692117544362061,BA,BAC,5767705.0,37524560.0,6.162395882967862,0.4299953175506143,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.305547242684114,BAC,BAX,37524560.0,4686565.0,0.4299953175506143,0.42907232665557443,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.3026705320572186,BAX,BBY,4686565.0,4905980.0,0.42907232665557443,4.391518055812038,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
52,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.6664463988057433,BBY,BDX,4905980.0,1600635.0,4.391518055812038,4.103369665358266,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.2616211969371461,BDX,BEN,1600635.0,3396420.0,4.103369665358266,0.47546070139074736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.9086723756628324,BEN,BHF,3396420.0,411785.0,0.47546070139074736,0.9469424227143561,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,2024-06-26 00:00:00 : 2024-05-28 00:00:00,-0.08782832483461185,BHF,BIIB,411785.0,1078310.0,0.9469424227143561,5.096655062145898,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.17706507561052437,BIIB,BK,1078310.0,3662495.0,5.096655062145898,0.7351121904665595,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.08236609956719262,BK,BLK,3662495.0,603725.0,0.7351121904665595,11.629017105903598,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.19186206540072828,BLK,BMY,603725.0,16676705.0,11.629017105903598,0.7536912856788214,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
59,2024-06-26 00:00:00 : 2024-05-28 00:00:00,0.7206311298106041,BMY,BSX,16676705.0,5563005.0,0.7536912856788214,0.8152262416136223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
